fips,c19_county,cumCases,pop_county,pop_est2019
1001.0,AL:Autauga,32,AL:Autauga,55869.0
1003.0,AL:Baldwin,132,AL:Baldwin,223234.0
1005.0,AL:Barbour,29,AL:Barbour,24686.0
1007.0,AL:Bibb,34,AL:Bibb,22394.0
1009.0,AL:Blount,29,AL:Blount,57826.0
1011.0,AL:Bullock,11,AL:Bullock,10101.0
1013.0,AL:Butler,17,AL:Butler,19448.0
1015.0,AL:Calhoun,85,AL:Calhoun,113605.0
1017.0,AL:Chambers,270,AL:Chambers,33254.0
1019.0,AL:Cherokee,13,AL:Cherokee,26196.0
1021.0,AL:Chilton,46,AL:Chilton,44428.0
1023.0,AL:Choctaw,21,AL:Choctaw,12589.0
1025.0,AL:Clarke,25,AL:Clarke,23622.0
1027.0,AL:Clay,19,AL:Clay,13235.0
1029.0,AL:Cleburne,12,AL:Cleburne,14910.0
1031.0,AL:Coffee,73,AL:Coffee,52342.0
1033.0,AL:Colbert,20,AL:Colbert,55241.0
1035.0,AL:Conecuh,10,AL:Conecuh,12067.0
1037.0,AL:Coosa,24,AL:Coosa,10663.0
1039.0,AL:Covington,27,AL:Covington,37049.0
1041.0,AL:Crenshaw,6,AL:Crenshaw,13772.0
1043.0,AL:Cullman,53,AL:Cullman,83768.0
1045.0,AL:Dale,22,AL:Dale,49172.0
1047.0,AL:Dallas,30,AL:Dallas,37196.0
1049.0,AL:DeKalb,58,AL:DeKalb,71513.0
1051.0,AL:Elmore,74,AL:Elmore,81209.0
1053.0,AL:Escambia,18,AL:Escambia,36633.0
1055.0,AL:Etowah,116,AL:Etowah,102268.0
1057.0,AL:Fayette,4,AL:Fayette,16302.0
1059.0,AL:Franklin,22,AL:Franklin,31362.0
1061.0,AL:Geneva,5,AL:Geneva,26271.0
1063.0,AL:Greene,40,AL:Greene,8111.0
1065.0,AL:Hale,36,AL:Hale,14651.0
1067.0,AL:Henry,20,AL:Henry,17205.0
1069.0,AL:Houston,75,AL:Houston,105882.0
1071.0,AL:Jackson,42,AL:Jackson,51626.0
1073.0,AL:Jefferson,744,AL:Jefferson,658573.0
1075.0,AL:Lamar,9,AL:Lamar,13805.0
1077.0,AL:Lauderdale,25,AL:Lauderdale,92729.0
1079.0,AL:Lawrence,12,AL:Lawrence,32924.0
1081.0,AL:Lee,331,AL:Lee,164542.0
1083.0,AL:Limestone,40,AL:Limestone,98915.0
1085.0,AL:Lowndes,32,AL:Lowndes,9726.0
1087.0,AL:Macon,27,AL:Macon,18068.0
1089.0,AL:Madison,216,AL:Madison,372909.0
1091.0,AL:Marengo,40,AL:Marengo,18863.0
1093.0,AL:Marion,65,AL:Marion,29709.0
1095.0,AL:Marshall,241,AL:Marshall,96774.0
1097.0,AL:Mobile,759,AL:Mobile,413210.0
1099.0,AL:Monroe,9,AL:Monroe,20733.0
1101.0,AL:Montgomery,253,AL:Montgomery,226486.0
1103.0,AL:Morgan,51,AL:Morgan,119679.0
1105.0,AL:Perry,9,AL:Perry,8923.0
1107.0,AL:Pickens,44,AL:Pickens,19930.0
1109.0,AL:Pike,53,AL:Pike,33114.0
1111.0,AL:Randolph,60,AL:Randolph,22722.0
1113.0,AL:Russell,52,AL:Russell,57961.0
1115.0,AL:St. Clair,62,AL:St. Clair,89512.0
1117.0,AL:Shelby,278,AL:Shelby,217702.0
1119.0,AL:Sumter,46,AL:Sumter,12427.0
1121.0,AL:Talladega,52,AL:Talladega,79978.0
1123.0,AL:Tallapoosa,242,AL:Tallapoosa,40367.0
