county,population
Los Angeles_California,13000000.00
San Francisco_California,883305.00
Salt Lake_Utah,1160000.00
King_Washington,2253000.00
New York City_New York,8399000.00
Grafton_New Hampshire,89886.00
Washoe_Nevada,471519.00
Santa Fe_New Mexico,150358.00
Lake_Illinois,696535.00
Albany_New York,305506.00
Litchfield_Connecticut,180333.00
Sarasota_Florida,433742.00
Ada_Idaho,481587.00
Lubbock_Texas,310569.00
Broomfield_Colorado,69267.00
Somerset_Maryland,25616.00
Columbia_Oregon,52354.00
