date,county,state,fips,cases,deaths,cs
2020-01-26,Los Angeles,California,06037,1,0,Los Angeles_California
2020-01-27,Los Angeles,California,06037,1,0,Los Angeles_California
2020-01-28,Los Angeles,California,06037,1,0,Los Angeles_California
2020-01-29,Los Angeles,California,06037,1,0,Los Angeles_California
2020-01-30,Los Angeles,California,06037,1,0,Los Angeles_California
2020-01-31,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-01,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-02,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-02,San Francisco,California,06075,2,0,San Francisco_California
2020-02-03,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-03,San Francisco,California,06075,2,0,San Francisco_California
2020-02-04,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-04,San Francisco,California,06075,2,0,San Francisco_California
2020-02-05,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-05,San Francisco,California,06075,2,0,San Francisco_California
2020-02-06,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-06,San Francisco,California,06075,2,0,San Francisco_California
2020-02-07,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-07,San Francisco,California,06075,2,0,San Francisco_California
2020-02-08,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-08,San Francisco,California,06075,2,0,San Francisco_California
2020-02-09,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-09,San Francisco,California,06075,2,0,San Francisco_California
2020-02-10,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-10,San Francisco,California,06075,2,0,San Francisco_California
2020-02-11,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-11,San Francisco,California,06075,2,0,San Francisco_California
2020-02-12,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-12,San Francisco,California,06075,2,0,San Francisco_California
2020-02-13,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-13,San Francisco,California,06075,2,0,San Francisco_California
2020-02-14,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-14,San Francisco,California,06075,2,0,San Francisco_California
2020-02-15,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-15,San Francisco,California,06075,2,0,San Francisco_California
2020-02-16,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-16,San Francisco,California,06075,2,0,San Francisco_California
2020-02-17,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-17,San Francisco,California,06075,2,0,San Francisco_California
2020-02-18,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-18,San Francisco,California,06075,2,0,San Francisco_California
2020-02-19,Los Angeles,California,06037,1,0,Los Angeles_California
2020-02-19,San Francisco,California,06075,2,0,San Francisco_California
2020-02-20,Los Angeles,California,06037,1,0,Los Angeles_California
