"","date","county","state","fips","cases","deaths"
"1",2020-02-25,"Salt Lake","Utah","49035",1,0
"2",2020-02-26,"Salt Lake","Utah","49035",1,0
"3",2020-02-27,"Salt Lake","Utah","49035",1,0
"4",2020-02-28,"Salt Lake","Utah","49035",1,0
"5",2020-02-29,"Salt Lake","Utah","49035",1,0
"6",2020-03-01,"Salt Lake","Utah","49035",1,0
"7",2020-03-02,"Salt Lake","Utah","49035",1,0
"8",2020-03-03,"Salt Lake","Utah","49035",1,0
"9",2020-03-04,"Salt Lake","Utah","49035",1,0
"10",2020-03-05,"Salt Lake","Utah","49035",1,0
"11",2020-03-06,"Salt Lake","Utah","49035",1,0
"12",2020-03-07,"Salt Lake","Utah","49035",1,0
"13",2020-03-08,"Salt Lake","Utah","49035",1,0
"14",2020-03-09,"Salt Lake","Utah","49035",1,0
"15",2020-03-10,"Salt Lake","Utah","49035",1,0
"16",2020-03-11,"Salt Lake","Utah","49035",2,0
"17",2020-03-12,"Salt Lake","Utah","49035",4,0
"18",2020-03-13,"Salt Lake","Utah","49035",4,0
"19",2020-03-14,"Salt Lake","Utah","49035",15,0
"20",2020-03-15,"Salt Lake","Utah","49035",15,0
"21",2020-03-16,"Salt Lake","Utah","49035",20,0
"22",2020-03-17,"Salt Lake","Utah","49035",23,0
"23",2020-03-18,"Salt Lake","Utah","49035",24,0
"24",2020-03-19,"Salt Lake","Utah","49035",31,0
"25",2020-03-20,"Salt Lake","Utah","49035",46,0
"26",2020-03-21,"Salt Lake","Utah","49035",60,0
"27",2020-03-22,"Salt Lake","Utah","49035",84,0
"28",2020-03-23,"Salt Lake","Utah","49035",112,0
"29",2020-03-24,"Salt Lake","Utah","49035",127,0
"30",2020-03-25,"Salt Lake","Utah","49035",151,0
"31",2020-03-26,"Salt Lake","Utah","49035",181,0
"32",2020-03-27,"Salt Lake","Utah","49035",212,0
"33",2020-03-28,"Salt Lake","Utah","49035",276,0
"34",2020-03-29,"Salt Lake","Utah","49035",324,0
"35",2020-03-30,"Salt Lake","Utah","49035",363,0
"36",2020-03-31,"Salt Lake","Utah","49035",396,0
"37",2020-04-01,"Salt Lake","Utah","49035",444,1
"38",2020-04-02,"Salt Lake","Utah","49035",476,1
"39",2020-04-03,"Salt Lake","Utah","49035",541,1
"40",2020-04-04,"Salt Lake","Utah","49035",650,1
"41",2020-04-05,"Salt Lake","Utah","49035",741,1
"42",2020-04-06,"Salt Lake","Utah","49035",741,1
"43",2020-04-07,"Salt Lake","Utah","49035",807,1
"44",2020-04-08,"Salt Lake","Utah","49035",868,7
"45",2020-04-09,"Salt Lake","Utah","49035",935,7
