date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-03-01,2020-03-01,3.0,1.3,5.44,7.0,6.0,0.0,,,,
2020-03-02,2020-03-02,2.74,1.35,4.3100000000000005,4.0,7.0,0.0,,,,
2020-03-03,2020-03-03,2.57,1.31,3.83,7.0,8.0,0.0,,,,
2020-03-04,2020-03-04,2.57,1.42,3.71,11.0,10.0,0.0,,2252754.5,27.5,0.0
2020-03-05,2020-03-05,2.52,1.42,3.5100000000000002,19.0,12.0,0.0,,2252749.4517857144,30.583928571428572,1.9642857142857142
2020-03-06,2020-03-06,2.43,1.41,3.33,7.0,14.0,0.0,,2252743.8374628364,34.013685122875614,4.148852040816326
2020-03-07,2020-03-07,2.67,1.71,3.5,13.0,20.0,0.0,2.6810198233963,2252737.715014773,37.70658424918563,6.578400978164584
2020-03-08,2020-03-08,2.79,1.9100000000000001,3.5300000000000002,19.0,27.0,0.0,2.5164133749966444,2252731.1702468656,41.55802471024856,9.271728424534986
2020-03-09,2020-03-09,2.74,1.94,3.4,26.0,34.0,0.0,2.69885633248547,2252723.2445608936,46.51528034594201,12.240158760981313
2020-03-10,2020-03-10,2.66,1.99,3.31,74.0,42.0,0.0,2.671878184479378,2252713.974762638,52.46255857653091,15.562678785691457
2020-03-11,2020-03-11,2.41,1.77,2.99,44.0,47.0,0.0,2.6041283830477893,2252703.70713271,58.98286289171984,19.31000439830081
2020-03-12,2020-03-12,2.11,1.46,2.62,36.0,49.0,0.0,2.342789627563179,2252692.50043984,65.97649412688062,23.523066033423653
2020-03-13,2020-03-13,1.9000000000000001,1.32,2.43,58.0,51.0,0.0,2.029220685446251,2252681.143114137,72.62121310638724,28.235672756772267
2020-03-14,2020-03-14,1.61,1.03,2.12,60.0,49.0,0.0,1.8203728271113497,2252670.1981150573,78.37898267850208,33.42290226437136
2020-03-15,2020-03-15,1.44,0.8300000000000001,1.92,32.0,48.0,0.0,1.5218920054739993,2252659.5610190905,83.41757988275332,39.021401027121506
2020-03-16,2020-03-16,1.5,0.91,1.99,68.0,53.0,0.0,1.3600001541848097,2252649.968042702,87.05215770802185,44.97979959017531
2020-03-17,2020-03-17,1.59,1.02,2.08,29.0,60.0,0.0,1.4522286749677564,2252641.014144611,89.78804453412033,51.197810855034014
2020-03-18,2020-03-18,1.84,1.26,2.29,45.0,74.0,0.0,1.567770812941278,2252631.394035221,92.99472217189854,57.61124260747118
2020-03-19,2020-03-19,2.0,1.45,2.43,130.0,90.0,0.0,1.85379677211856,2252620.8325368785,96.91374035939171,64.2537227626068
2020-03-20,2020-03-20,2.0100000000000002,1.52,2.44,101.0,104.0,0.0,2.0280136767626407,2252608.09536215,102.72850506222765,71.17613278827764
2020-03-21,2020-03-21,1.8800000000000001,1.4000000000000001,2.2800000000000002,141.0,114.0,0.0,2.030333679404109,2252593.419944408,110.06617244295401,78.51388314986534
2020-03-22,2020-03-22,1.62,1.1300000000000001,1.99,101.0,116.0,0.0,1.878832034087168,2252577.617689743,118.00655764768015,86.37575261007633
2020-03-23,2020-03-23,1.49,1.05,1.8900000000000001,130.0,120.0,0.0,1.5890381032059049,2252561.771206025,125.42400153376332,94.80479244205348
2020-03-24,2020-03-24,1.59,1.1300000000000001,1.96,112.0,134.0,0.0,1.4537248061541028,2252547.257959375,130.97839093142616,103.76364969446514
2020-03-25,2020-03-25,1.75,1.32,2.12,82.0,155.0,0.0,1.5767750953650521,2252533.3182061547,135.5625447996721,113.11924904670987
2020-03-26,2020-03-26,1.75,1.34,2.11,219.0,173.0,0.0,1.7595190314534481,2252517.9222695585,141.27544248166964,122.80228796097217
2020-03-27,2020-03-27,1.6400000000000001,1.22,1.97,251.0,185.0,0.0,1.7565252076459559,2252500.2629599497,148.84364905627567,132.89339099537713
2020-03-28,2020-03-28,1.23,0.8200000000000001,1.56,249.0,174.0,0.0,1.631706540826355,2252481.657649681,156.81727010678782,143.52508021368254
2020-03-29,2020-03-29,0.9,0.49,1.24,84.0,158.0,0.0,1.176771948914581,2252463.287778345,163.98590786378162,154.7263137927388
2020-03-30,2020-03-30,0.58,0.19,0.92,169.0,136.0,0.0,0.8252895192318307,2252448.8805625085,166.67984456694703,166.43959292586607
2020-03-31,2020-03-31,0.46,0.07,0.78,0.0,123.0,0.0,0.49176443517472057,2252438.16549818,165.48920571243056,178.34529610921942
2020-04-01,2020-04-01,0.54,0.14,0.89,166.0,119.0,0.0,0.38570835601157516,2252431.3095494146,160.52449692665198,190.1659536601073
2020-04-02,2020-04-02,1.01,0.56,1.4000000000000001,160.0,136.0,0.0,0.4984565973872417,2252426.035189141,154.3328217053872,201.63198915486817
2020-04-03,2020-04-03,1.24,0.78,1.6,131.0,149.0,0.0,1.036098831345827,2252420.0823656716,149.26187219572589,212.6557621338244
2020-04-04,2020-04-04,1.42,0.98,1.77,111.0,165.0,0.0,1.2845654205632606,2252409.3142162077,149.36845936004704,223.3173244335191
2020-04-05,2020-04-05,1.3800000000000001,0.9500000000000001,1.72,269.0,173.0,0.0,1.4713743414170193,2252396.0845016264,151.92899827287806,233.98650010209388
2020-04-06,2020-04-06,1.34,0.93,1.68,164.0,180.0,0.0,1.4105140689487436,2252380.6746508847,156.486777709485,244.83857140729947
2020-04-07,2020-04-07,1.34,0.93,1.67,155.0,189.0,0.0,1.3562267703309205,2252365.249631185,160.7341704300374,256.0161983865484
2020-04-08,2020-04-08,1.25,0.85,1.58,202.0,192.0,0.0,1.3510940351924843,2252349.8651802307,164.63760921071471,267.49721056012254
2020-04-09,2020-04-09,1.09,0.6900000000000001,1.42,198.0,188.0,0.0,1.2471505445817093,2252334.1071166974,168.635843514809,279.2570397894593
2020-04-10,2020-04-10,0.99,0.6,1.33,231.0,183.0,0.0,1.0694883605883487,2252319.050450296,171.64709252194206,291.30245718337426
2020-04-11,2020-04-11,0.77,0.35000000000000003,1.09,145.0,168.0,0.0,0.964360235827503,2252305.6865874296,172.75044877981566,303.5629637920844
2020-04-12,2020-04-12,0.48,0.09,0.78,164.0,145.0,0.0,0.7269428142557824,2252293.470735319,172.62698312040365,315.90228156207127
2020-04-13,2020-04-13,0.3,0.0,0.59,123.0,125.0,0.0,0.4169019399737836,2252283.9763027425,169.79091690238633,328.23278035638583
2020-04-14,2020-04-14,0.21,0.0,0.51,71.0,106.0,0.0,0.2359452438385851,2252278.154924417,163.48437259188822,340.36070299227055
2020-04-15,2020-04-15,0.36,0.01,0.65,77.0,103.0,0.0,0.15573809786414017,2252274.651696916,155.31014490763394,352.0381581774054
2020-04-16,2020-04-16,0.51,0.1,0.85,112.0,103.0,0.0,0.3402756653442533,2252272.322048366,146.54621167855552,363.13173995652215
2020-04-17,2020-04-17,0.79,0.34,1.19,93.0,110.0,0.0,0.5139189823181125,2252268.5537211066,139.84695238974868,373.5993265049904
2020-04-18,2020-04-18,0.9500000000000001,0.48,1.35,161.0,115.0,0.0,0.8251645422984406,2252263.459304936,134.95230053251143,383.5883945328296
2020-04-19,2020-04-19,0.9400000000000001,0.5,1.36,109.0,114.0,0.0,0.9926302844636296,2252255.844156631,132.9279987997473,393.2278445708662
2020-04-20,2020-04-20,0.86,0.38,1.24,121.0,109.0,0.0,0.9680109359389852,2252246.8240729244,132.45322544890152,402.722701627991
2020-04-21,2020-04-21,0.79,0.31,1.17,86.0,104.0,0.0,0.8698790335020595,2252237.930820547,131.88553315158128,412.18364630291256
2020-04-22,2020-04-22,0.72,0.26,1.11,70.0,98.0,0.0,0.7886314012573954,2252229.8293126435,130.5666458302151,421.6040415280255
2020-04-23,2020-04-23,0.77,0.3,1.17,120.0,97.0,0.0,0.710939879393577,2252222.4616498454,128.60811964050282,430.930230515898
2020-04-24,2020-04-24,,,,,,1.0,0.7695953288371249,2252215.847539615,126.03593561104952,440.11652477593395
2020-04-25,2020-04-25,,,,,,1.0,0.7692763168380157,2252208.915583513,123.96532488313505,449.1190916052946
2020-04-26,2020-04-26,,,,,,1.0,0.7690211072358812,2252203.651250115,120.37499221832398,457.9737576683757
2020-04-27,2020-04-27,,,,,,1.0,0.7688169395518959,2252198.6675198027,116.76050880093024,466.571971398256
2020-04-28,2020-04-28,,,,,,1.0,0.7686536054028856,2252193.954395201,113.13359705951441,474.9120077411796
2020-04-29,2020-04-29,,,,,,1.0,0.7685229380822196,2252189.501789511,109.50523153065807,482.9929789597163
2020-04-30,2020-04-30,,,,,,1.0,0.7684184042245207,2252185.299582222,105.88563656758612,490.81478121190617
2020-05-01,2020-05-01,,,,,,1.0,0.7683347771374286,2252181.3376668487,102.2842921861722,498.37804096673375
2020-05-02,2020-05-02,,,,,,1.0,0.7682678754670086,2252177.605993968,98.70994419659215,505.6840618371746
2020-05-03,2020-05-03,,,,,,1.0,0.7682143541300755,2252174.094609758,95.17061810705684,512.7347721369312
2020-05-04,2020-05-04,,,,,,1.0,0.7681715370600514,2252170.7936902605,91.67363631128559,519.5326734302923
2020-05-05,2020-05-05,,,,,,1.0,0.76813728340365,2252167.693571594,88.22563809818455,526.0807903096699
2020-05-06,2020-05-06,,,,,,1.0,0.7681098804782232,2252164.7847763496,84.83260205008253,532.3826216023973
2020-05-07,2020-05-07,,,,,,1.0,0.7680879581376371,2252162.0580364,81.4998704244241,538.4420931774032
2020-05-08,2020-05-08,,,,,,1.0,0.7680704202649725,2252159.504312366,78.23217514265197,544.2635124934335
2020-05-09,2020-05-09,,,,,,1.0,0.7680563899666845,2252157.1148099597,75.03366503880167,549.8515250036229
2020-05-10,2020-05-10,,,,,,1.0,0.7680451657279288,2252154.880993447,71.90793404879997,555.2110725063944
2020-05-11,2020-05-11,,,,,,1.0,0.768036186336824,2252152.794596443,68.85805004936519,560.3473535098801
2020-05-12,2020-05-12,,,,,,1.0,0.7680290028238601,2252150.8476302633,65.88658408255183,565.2657856562633
2020-05-13,2020-05-13,,,,,,1.0,0.7680232560134248,2252149.0323900403,62.9956397281987,569.9719702335884
2020-05-14,2020-05-14,,,,,,1.0,0.7680186585650254,2252147.341458805,60.186882411694754,574.4716587856026
2020-05-15,2020-05-15,,,,,,1.0,0.7680149806062647,2252145.767709729,57.461568458467795,578.7707218150093
2020-05-16,2020-05-16,,,,,,1.0,0.7680120382392234,2252144.304306711,54.82057372934698,582.8751195620428
2020-05-17,2020-05-17,,,,,,1.0,0.768009684345564,2252142.9447034816,52.26442169239921,586.7908748284246
2020-05-18,2020-05-18,,,,,,1.0,0.7680078012306156,2252141.682641389,49.79331080695418,590.5240478064532
2020-05-19,2020-05-19,,,,,,1.0,0.76800629473864,2252140.512146024,47.40714111429924,594.0807128640928
2020-05-20,2020-05-20,,,,,,1.0,0.7680050895450462,2252139.427522826,45.10553994694064,597.4669372293998
