date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-03-01,2020-03-01,3.0,1.3,5.44,7.0,6.0,0.0,,,,
2020-03-02,2020-03-02,3.3200000000000003,1.81,5.07,6.0,9.0,0.0,,,,
2020-03-03,2020-03-03,3.22,1.85,4.49,9.0,12.0,0.0,,19947.0,36.0,0.0
2020-03-04,2020-03-04,3.02,1.84,4.0600000000000005,15.0,15.0,0.0,,19938.72,41.70857142857143,2.571428571428571
2020-03-05,2020-03-05,2.81,1.79,3.72,28.0,18.0,0.0,,19929.131010614015,48.3183771410892,5.550612244897959
2020-03-06,2020-03-06,2.7,1.78,3.5100000000000002,11.0,22.0,0.0,2.8134616263177072,19918.713059045553,55.2850160566185,9.001924897832902
2020-03-07,2020-03-07,2.83,2.0100000000000002,3.5700000000000003,24.0,30.0,0.0,2.630673066076521,19907.622367227577,62.42677815626516,12.950854616162795
2020-03-08,2020-03-08,2.83,2.08,3.48,31.0,39.0,0.0,2.761964932491063,19895.589620691604,70.00046910964701,17.409910198753163
2020-03-09,2020-03-09,2.84,2.17,3.43,38.0,51.0,0.0,2.7641478271489275,19881.44807859371,79.1419776997095,22.409943706585093
2020-03-10,2020-03-10,2.73,2.12,3.2600000000000002,100.0,63.0,0.0,2.7759779343891506,19865.46146427424,89.47559361205434,28.0629421137072
2020-03-11,2020-03-11,2.5,1.95,3.0,59.0,73.0,0.0,2.6680244239544044,19847.32529597438,101.22064808248476,34.45405594313965
2020-03-12,2020-03-12,2.23,1.7,2.69,81.0,80.0,0.0,2.440009583630524,19827.605289424762,113.71060834049669,41.6841022347457
2020-03-13,2020-03-13,2.0,1.49,2.44,92.0,86.0,0.0,2.1717695889144846,19807.319998857773,125.87371259744975,49.80628854478118
2020-03-14,2020-03-14,1.79,1.27,2.2,98.0,90.0,0.0,1.9433133489810521,19787.29062733731,136.91210464666753,58.797268016027594
2020-03-15,2020-03-15,1.71,1.2,2.11,66.0,97.0,0.0,1.7348560870341545,19767.751533383296,146.6717625544889,68.57670406221813
2020-03-16,2020-03-16,1.74,1.24,2.13,119.0,109.0,0.0,1.6561294865668346,19749.017018694027,154.92972277557993,79.05325853039591
2020-03-17,2020-03-17,1.8,1.31,2.17,114.0,124.0,0.0,1.6874126406098438,19730.11139414496,162.76893855496462,90.11966730008018
2020-03-18,2020-03-18,1.94,1.5,2.32,118.0,147.0,0.0,1.7488288469939564,19709.900906280054,171.35307366594256,101.74602005400622
