date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-03-03,2020-03-03,3.0,1.3,5.44,1.0,6.0,0.0,,,,
2020-03-04,2020-03-04,4.03,2.2600000000000002,5.8,9.0,11.0,0.0,,,,
2020-03-05,2020-03-05,3.84,2.45,5.09,11.0,16.0,0.0,,305253.0,253.0,0.0
2020-03-06,2020-03-06,3.48,2.36,4.46,22.0,21.0,0.0,3.472697573982676,305183.6057142857,304.3228571428571,18.07142857142857
2020-03-07,2020-03-07,3.15,2.18,3.95,45.0,26.0,0.0,3.2019983320277206,305100.15327790356,366.0379465862352,39.80877551020407
2020-03-08,2020-03-08,2.8000000000000003,1.97,3.52,17.0,30.0,0.0,2.921267246618204,305009.19158288214,430.8540739943529,65.95434312350659
2020-03-09,2020-03-09,2.7600000000000002,1.99,3.39,36.0,38.0,0.0,2.6022424743986763,304912.27831829624,496.9920475806624,96.72963412310322
2020-03-10,2020-03-10,2.72,2.02,3.29,31.0,48.0,0.0,2.6209947907582483,304812.91149151477,560.8594423921065,132.22906609315055
2020-03-11,2020-03-11,2.95,2.37,3.5100000000000002,44.0,68.0,0.0,2.6208647979767017,304702.378091683,631.331453481582,172.29045483544388
2020-03-12,2020-03-12,2.96,2.38,3.41,109.0,90.0,0.0,2.910779715257354,304579.76388864557,708.8505526988669,217.38555865555688
2020-03-13,2020-03-13,2.91,2.43,3.35,95.0,117.0,0.0,2.9346441571920185,304430.45905617025,807.523202838567,268.01774099119024
2020-03-14,2020-03-14,2.99,2.56,3.39,189.0,158.0,0.0,2.8867183154302825,304259.8092724551,920.4927577795083,325.6979697653736
2020-03-15,2020-03-15,3.58,3.19,3.92,122.0,250.0,0.0,2.983949598721983,304068.58552920213,1045.9670183339786,391.44745246390994
2020-03-16,2020-03-16,4.37,4.0200000000000005,4.63,218.0,439.0,0.0,3.6477510296468743,303845.33725603315,1194.5033616219825,466.1593823449084
2020-03-17,2020-03-17,4.89,4.63,5.11,424.0,794.0,0.0,4.512199716720808,303540.10994580097,1414.4090031668618,551.4810510321929
2020-03-18,2020-03-18,4.5200000000000005,4.29,4.68,1008.0,1288.0,0.0,5.049824266856299,303099.0557841053,1754.433950350609,652.5102655441116
2020-03-19,2020-03-19,4.1,3.93,4.25,1770.0,1972.0,0.0,4.5833716229060535,302487.14748608315,2241.025537633478,777.8269762834408
2020-03-20,2020-03-20,3.54,3.38,3.66,2950.0,2789.0,0.0,4.091792640616319,301765.0770769863,2803.022694042187,937.9002289715463
2020-03-21,2020-03-21,2.85,2.71,2.96,3254.0,3570.0,0.0,3.4662013695803187,300946.1514036104,3421.7324607007895,1138.1161356888454
2020-03-22,2020-03-22,2.52,2.39,2.62,4812.0,4407.0,0.0,2.7158795477308315,300083.28990290506,4040.184499927538,1382.5255971674733
2020-03-23,2020-03-23,2.06,1.92,2.14,5707.0,5084.0,0.0,2.388800813974318,299263.18191655684,4571.70787913806,1671.1102043051546
2020-03-24,2020-03-24,1.68,1.55,1.76,4791.0,5567.0,0.0,1.9149856381274295,298442.5234504144,5065.815782484917,1997.6607671007303
2020-03-25,2020-03-25,1.62,1.51,1.71,7401.0,6081.0,0.0,1.5353469020022885,297699.1689217299,5447.326326706249,2359.5047515639385
2020-03-26,2020-03-26,1.36,1.23,1.43,5921.0,6376.0,0.0,1.5145669562615967,297047.11793319497,5710.2825776193295,2748.5994891858136
2020-03-27,2020-03-27,1.32,1.21,1.4000000000000001,5648.0,6670.0,0.0,1.2568383058626016,296387.80393001524,5961.719253826238,3156.4768161586226
2020-03-28,2020-03-28,1.3800000000000001,1.26,1.45,8728.0,7049.0,0.0,1.24514951973913,295809.9509209339,6113.735173348543,3582.3139057176395
2020-03-29,2020-03-29,1.27,1.17,1.35,6204.0,7314.0,0.0,1.3365459109046105,295234.6368863142,6252.353838443373,4019.0092752425353
2020-03-30,2020-03-30,1.35,1.24,1.42,7648.0,7699.0,0.0,1.2271441456533012,294619.5320710641,6420.861950947516,4465.605977988491
2020-03-31,2020-03-31,1.4000000000000001,1.29,1.47,8616.0,8158.0,0.0,1.330670476599818,294038.28169640846,6543.479329106917,4924.238974484742
2020-04-01,2020-04-01,1.44,1.34,1.51,8058.0,8693.0,0.0,1.3929888168271085,293408.5481801065,6705.821464758377,5391.630355135237
2020-04-02,2020-04-02,1.4000000000000001,1.29,1.46,8880.0,9195.0,0.0,1.4401213752209368,292739.4022005496,6895.98019683255,5870.617602617978
2020-04-03,2020-04-03,1.09,0.98,1.1500000000000001,10138.0,9288.0,0.0,1.3952152006004306,292031.71900799446,7111.093375328222,6363.187616677446
2020-04-04,2020-04-04,1.04,0.93,1.1,12088.0,9336.0,0.0,1.0490018690071221,291322.32874251844,7312.5483997093925,6871.12285777232
2020-04-05,2020-04-05,0.92,0.81,0.98,7915.0,9212.0,0.0,1.0060805732007903,290754.3776178623,7358.174638671966,7393.447743465847
2020-04-06,2020-04-06,0.97,0.87,1.04,5701.0,9185.0,0.0,0.8823814191168525,290208.8360040733,7378.13234969867,7919.031646228131
